,administrative_area_level_1,country,administrative_area_level_2
0,Hokkaido,Japan,Yoichi District
0,Hokkaido,Japan,Abuta District
0,Hokkaido,Japan,Abuta District
0,Hokkaido,Japan,
0,Hokkaido,Japan,Isoya District
0,Hokkaido,Japan,Abuta District
0,Hokkaido,Japan,Shakotan District
0,Hokkaido,Japan,
0,Hokkaido,Japan,Yufutsu District
0,Hokkaido,Japan,Yufutsu District
0,Hokkaido,Japan,
0,Hokkaido,Japan,
0,Hokkaido,Japan,Usu District
0,Hokkaido,Japan,Abuta District
0,Hokkaido,Japan,Kayabe District
0,Hokkaido,Japan,Kameda District
0,Hokkaido,Japan,Kameda District
0,Hokkaido,Japan,Setana District
0,Aomori,Japan,Nishitsugaru District
0,Aomori,Japan,
0,Aomori,Japan,Higashitsugaru District
0,Aomori,Japan,
0,Aomori,Japan,
0,Aomori,Japan,
0,Aomori,Japan,Kamikita District
0,Aomori,Japan,
0,Aomori,Japan,Minamitsugaru District
0,Aomori,Japan,Kamikita District
0,Aomori,Japan,
0,Aomori,Japan,Sannohe District
0,Aomori,Japan,
0,Iwate,Japan,
0,Iwate,Japan,
0,Iwate,Japan,
0,Iwate,Japan,
0,Iwate,Japan,Iwate District
0,Iwate,Japan,
0,Iwate,Japan,
0,Iwate,Japan,
0,Iwate,Japan,
0,Iwate,Japan,Waga District
0,Iwate,Japan,Ninohe District
0,Iwate,Japan,
0,Iwate,Japan,Iwate District
0,Iwate,Japan,
0,Miyagi,Japan,
0,Miyagi,Japan,Katta District
0,Miyagi,Japan,Katta District
0,Miyagi,Japan,
0,Miyagi,Japan,Katta District
0,Miyagi,Japan,
0,Miyagi,Japan,
0,Miyagi,Japan,Shibata District
0,Miyagi,Japan,Kami District
0,Akita,Japan,
0,Akita,Japan,
0,Akita,Japan,
0,Akita,Japan,
0,Akita,Japan,
0,Akita,Japan,
0,Akita,Japan,Ogachi District
0,Akita,Japan,
0,Akita,Japan,
0,Akita,Japan,
0,Akita,Japan,
0,Akita,Japan,
0,Yamagata,Japan,Mogami District
0,Yamagata,Japan,Nishimurayama District
0,Yamagata,Japan,Nishimurayama District
0,Yamagata,Japan,
0,Yamagata,Japan,Mogami District
0,Yamagata,Japan,
0,Yamagata,Japan,
0,Yamagata,Japan,
0,Yamagata,Japan,Kitamurayama District
0,Yamagata,Japan,
0,Yamagata,Japan,
0,Yamagata,Japan,Mogami District
0,Yamagata,Japan,
0,Yamagata,Japan,
0,Yamagata,Japan,
0,Yamagata,Japan,
0,Yamagata,Japan,
0,Fukushima,Japan,
0,Fukushima,Japan,Minamiaizu District
0,Fukushima,Japan,Minamiaizu District
0,Fukushima,Japan,Minamiaizu District
0,Fukushima,Japan,Minamiaizu District
0,Fukushima,Japan,Kawanuma District
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,Onuma District
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,Iwase District
0,Fukushima,Japan,Minamiaizu District
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,
0,Fukushima,Japan,Iwase District
0,Fukushima,Japan,Minamiaizu District
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,Yama District
0,Fukushima,Japan,Kawanuma District
0,Fukushima,Japan,Yama District
0,Ibaraki,Japan,
0,Tochigi,Japan,
0,Tochigi,Japan,
0,Tochigi,Japan,
0,Tochigi,Japan,Nasu District
0,Tochigi,Japan,Nasu District
0,Tochigi,Japan,
0,Tochigi,Japan,
0,Tochigi,Japan,
0,Gunma,Japan,
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Agatsuma District
0,Gunma,Japan,Agatsuma District
0,Gunma,Japan,Agatsuma District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Agatsuma District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Agatsuma District
0,Gunma,Japan,Agatsuma District
0,Gunma,Japan,Agatsuma District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Gunma,Japan,
0,Gunma,Japan,Tone District
0,Gunma,Japan,Tone District
0,Saitama,Japan,
0,Kanagawa,Japan,
0,Kanagawa,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,Higashikambara District
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,
0,Niigata,Japan,Higashikambara District
0,Niigata,Japan,Nakauonuma District
0,Niigata,Japan,
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,
0,Niigata,Japan,Nakauonuma District
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,Iwafune District
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,Minamiuonuma District
0,Niigata,Japan,Minamiuonuma District
0,Toyama,Japan,
0,Toyama,Japan,
0,Toyama,Japan,
0,Toyama,Japan,
0,Toyama,Japan,
0,Toyama,Japan,
0,Toyama,Japan,
0,Toyama,Japan,
0,Toyama,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,Hosu District
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Ishikawa,Japan,
0,Fukui,Japan,
0,Fukui,Japan,Nanjo District
0,Fukui,Japan,
0,Fukui,Japan,
0,Fukui,Japan,
0,Fukui,Japan,
0,Fukui,Japan,
0,Shizuoka,Japan,
0,Shizuoka,Japan,
0,Shizuoka,Japan,
0,Yamanashi,Japan,Minamitsuru District
0,Yamanashi,Japan,
0,Yamanashi,Japan,
0,Nagano,Japan,Shimoina District
0,Nagano,Japan,Higashichikuma District
0,Gunma,Japan,Agatsuma District
0,Nagano,Japan,
0,Nagano,Japan,Chiisagata District
0,Nagano,Japan,Minamisaku District
0,Nagano,Japan,
0,Nagano,Japan,Chiisagata District
0,Nagano,Japan,Suwa District
0,Nagano,Japan,Suwa District
0,Nagano,Japan,Kitaazumi District
0,Nagano,Japan,Kitaazumi District
0,Nagano,Japan,Kitaazumi District
0,Nagano,Japan,Kitaazumi District
0,Nagano,Japan,Kitaazumi District
0,Nagano,Japan,Kitaazumi District
0,Nagano,Japan,Kitaazumi District
0,Nagano,Japan,Shimoina District
0,Nagano,Japan,Higashichikuma District
0,Nagano,Japan,
0,Nagano,Japan,Shimoina District
0,Nagano,Japan,Kamiminochi District
0,Nagano,Japan,
0,Nagano,Japan,Shimoina District
0,Nagano,Japan,
0,Nagano,Japan,Kiso District
0,Nagano,Japan,Kitasaku District
0,Nagano,Japan,
0,Nagano,Japan,Kiso District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,
0,Nagano,Japan,Minamisaku District
0,Nagano,Japan,Kamiminochi District
0,Nagano,Japan,
0,Niigata,Japan,
0,Nagano,Japan,
0,Nagano,Japan,
0,Nagano,Japan,Shimotakai District
0,Idaho,United States,Ada County
0,Nagano,Japan,
0,Nagano,Japan,
0,Nagano,Japan,
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,
0,Nagano,Japan,Kiso District
0,Nagano,Japan,Kiso District
0,Nagano,Japan,
0,Nagano,Japan,Minamisaku District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimominochi District
0,Nagano,Japan,
0,Nagano,Japan,
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,
0,Nagano,Japan,Kitasaku District
0,Nagano,Japan,Kitasaku District
0,Nagano,Japan,Kitasaku District
0,Nagano,Japan,
0,Nagano,Japan,Shimotakai District
0,Nagano,Japan,
0,Nagano,Japan,
0,Nagano,Japan,Kitaazumi District
0,Nagano,Japan,
0,Nagano,Japan,Kamiminochi District
0,Nagano,Japan,
0,Nagano,Japan,
0,Nagano,Japan,
0,Nagano,Japan,Kitaazumi District
0,Nagano,Japan,Kiso District
0,Nagano,Japan,Minamisaku District
0,Nagano,Japan,Kamitakai District
0,Nagano,Japan,Kamitakai District
0,Nagano,Japan,
0,Nagano,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,Ibi District
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,Ibi District
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,Ono District
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,
0,Gifu,Japan,Ibi District
0,Aichi,Japan,Kitashitara District
0,Mie,Japan,Mie District
0,Shiga,Japan,
0,Shiga,Japan,
0,Shiga,Japan,
0,Shiga,Japan,
0,Shiga,Japan,
0,Shiga,Japan,
0,Shiga,Japan,
0,Shiga,Japan,
0,Shiga,Japan,
0,Kyoto,Japan,
0,Kyoto,Japan,
0,Kyoto,Japan,
0,Hyogo,Japan,
0,Hyogo,Japan,
0,Hyogo,Japan,Mikata District
0,Hyogo,Japan,
0,Hyogo,Japan,
0,Hyogo,Japan,
0,Hyogo,Japan,
0,Hyogo,Japan,
0,Hyogo,Japan,Mikata District
0,Hyogo,Japan,
0,Hyogo,Japan,
0,Hyogo,Japan,Mikata District
0,Hyogo,Japan,Mikata District
0,Hyogo,Japan,
0,Nara,Japan,Yoshino District
0,Nara,Japan,Yoshino District
0,Nara,Japan,Yoshino District
0,Tottori,Japan,Saihaku District
0,Tottori,Japan,Hino District
0,Tottori,Japan,Hino District
0,Tottori,Japan,Saihaku District
0,Tottori,Japan,Hino District
0,Tottori,Japan,Yazu District
0,Shimane,Japan,
0,Shimane,Japan,Iishi District
0,Shimane,Japan,Nita District
0,Shimane,Japan,Ochi District
0,Shimane,Japan,
0,Okayama,Japan,
0,Okayama,Japan,
0,Okayama,Japan,Tomata District
0,Hiroshima,Japan,
0,Hiroshima,Japan,Yamagata District
0,Hiroshima,Japan,
0,Hiroshima,Japan,
0,Hiroshima,Japan,Yamagata District
0,Hiroshima,Japan,Yamagata District
0,Hiroshima,Japan,Yamagata District
0,Hiroshima,Japan,
0,Hiroshima,Japan,Yamagata District
0,Hiroshima,Japan,
0,Hiroshima,Japan,Yamagata District
0,Hiroshima,Japan,Yamagata District
0,Yamaguchi,Japan,
0,Yamaguchi,Japan,
0,Murmansk Oblast,Russia,Gorod Monchegorsk
0,Tokushima,Japan,
0,Tokushima,Japan,Mima District
0,Ehime,Japan,
0,Ehime,Japan,
0,Ehime,Japan,Kamiukena District
0,Ehime,Japan,Kamiukena District
0,Ehime,Japan,Iyo District
0,Ehime,Japan,Kita District
0,Kochi,Japan,Takaoka District
0,Fukuoka,Japan,
0,Saga,Japan,
0,Oita,Japan,Kusu District
0,Miyazaki,Japan,Nishiusuki District
0,Wallonia,Belgium,Luxembourg
0,Marrakesh-Safi,Morocco,Al Haouz
0,Fez-Meknès,Morocco,Ifrane Province
0,Butha-Buthe,Lesotho,
0,La Massana,Andorra,
0,Canillo,Andorra,
0,Sant Julià de Lòria,Andorra,
0,Minsk Region,Belarus,Lahoisk District
0,Minsk Region,Belarus,Lahoisk District
0,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Canton 10
0,Republika Srpska,Bosnia and Herzegovina,
0,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo Canton
0,Republika Srpska,Bosnia and Herzegovina,
0,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Herzegovina-Neretva Canton
0,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Sarajevo Canton
0,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Central Bosnia Canton
0,Blagoevgrad Province,Bulgaria,Bansko
0,Sofia Province,Bulgaria,Samokov Municipality
0,Smoljan,Bulgaria,Chepelare
0,Smoljan,Bulgaria,Smolyan
0,Sofia City Province,Bulgaria,Sofia
0,Karlovac County,Croatia,Općina Ogulin
0,Zagreb County,Croatia,Bistra
0,Primorje-Gorski Kotar County,Croatia,Općina Čavle
0,Limassol,Cyprus,
0,Hradec Králové Region,Czechia,Trutnov District
0,Liberec Region,Czechia,Semily District
0,Hradec Králové Region,Czechia,Trutnov District
0,Valga County,Estonia,Otepää Parish
0,Lapland,Finland,Tunturi Lapland
0,Northern Ostrobothnia,Finland,Koillismaa
0,Kainuu,Finland,Kajaani sub-region
0,Lapland,Finland,Tunturi Lapland
0,Uusimaa,Finland,Helsinki
0,Municipality of Kavadarci,North Macedonia,
0,Municipality of Mavrovo and Rostuša,North Macedonia,
0,Municipality of Tetovo,North Macedonia,
0,Municipality of Kruševo,North Macedonia,
0,Municipality of Bitola,North Macedonia,
0,Municipality of Bitola,North Macedonia,
0,Viken,Norway,Hol Municipality
0,Innlandet,Norway,Øyer Municipality
0,Viken,Norway,Hemsdal Municipality
0,Viken,Norway,Kongsberg
0,Innlandet,Norway,Ringebu Municipality
0,Nordland,Norway,Narvik Municipality
0,Viken,Norway,Krødsherad Municipality
0,Trøndelag,Norway,Oppdal Municipality
0,Rogaland,Norway,Sauda Municipality
0,Agder,Norway,Sirdal Municipality
0,Innlandet,Norway,Ringsaker
0,Vestland,Norway,Stryn Municipality
0,Troms og Finnmark fylke,Norway,Tromsø Municipality
0,Oslo,Norway,Oslo Municipality
0,Innlandet,Norway,Trysil Municipality
0,Trøndelag,Norway,Meråker Municipality
0,Vestland,Norway,Voss Municipality
0,Lesser Poland Voivodeship,Poland,Tatra County
0,Silesian Voivodeship,Poland,Bielsko County
0,Bavaria,Germany,Lower Bavaria
0,Lower Silesian Voivodeship,Poland,Karkonosze County
0,Lower Silesian Voivodeship,Poland,Karkonosze County
0,Lower Silesian Voivodeship,Poland,Kłodzko County
0,Lesser Poland Voivodeship,Poland,Tatra County
0,Lesser Poland Voivodeship,Poland,Nowy Targ County
0,Lesser Poland Voivodeship,Poland,Tatra County
0,Lesser Poland Voivodeship,Poland,Nowy Sącz County
0,Lesser Poland Voivodeship,Poland,Sucha County
0,Guarda District,Portugal,Seia Municipality
0,Prahova,Romania,Sinaia
0,Prahova,Romania,Bușteni
0,Prahova,Romania,Azuga
0,Brașov County,Romania,Predeal
0,Brașov County,Romania,Brasov
0,Sibiu,Romania,Sibiu
0,Hunedoara County,Romania,Lupeni
0,Bihor County,Romania,Nucet
0,Gorj County,Romania,Novaci
0,Vâlcea County,Romania,Voineasa
0,Suceava County,Romania,Vatra Dornei
0,Caraș-Severin County,Romania,Valiug
0,Sibiu,Romania,Sibiu
0,Kabardino-Balkarian Republic,Russia,Elbrussky District
0,Karachay-Cherkessia,Russia,Karachayevsky District
0,Kemerovo Oblast,Russia,Tashtagolsky District
0,Chelyabinsk Oblast,Russia,Katav-Ivanovsky District
0,Leningrad Oblast,Russia,Vsevolozhsky District
0,North Ossetia–Alania Republic,Russia,Alagirsky District
0,Moscow Oblast,Russia,Dmitrovsky District
0,Saint Petersburg,Russia,
0,Leningrad Oblast,Russia,Priozersky District
0,Sverdlovsk Oblast,Russia,Gorod Pervoural'sk
0,Republic of Bashkortostan,Russia,Abzelilovsky District
0,Republic of Bashkortostan,Russia,Beloretsky District
0,Kabardino-Balkarian Republic,Russia,Elbrussky District
0,Krasnodar Krai,Russia,City of Sochi
0,Leningrad Oblast,Russia,Priozersky District
0,Murmansk Oblast,Russia,Gorod Kirovsk
0,Banská Bystrica Region,Slovakia,Banská Bystrica District
0,Žilina Region,Slovakia,Liptovský Mikuláš District
0,Prešov Region,Slovakia,Poprad District
0,Prešov Region,Slovakia,Poprad District
0,Prešov Region,Slovakia,Poprad District
0,Žilina Region,Slovakia,Žilina District
0,Prešov Region,Slovakia,Poprad District
0,Prešov Region,Slovakia,Sabinov District
0,Košice Region,Slovakia,Spišská Nová Ves District
0,Idrija,Slovenia,Municipality of Cerkno
0,Mozirje,Slovenia,Municipality of Mozirje
0,Radovljica,Slovenia,Municipality of Bohinj
0,Slovenj Gradec,Slovenia,Municipality of Slovenj Gradec
0,Jesenice,Slovenia,Municipality of Kranjska Gora
0,Kranj,Slovenia,Municipality of Cerklje na Gorenjskem
0,Administrative unit Maribor,Slovenia,Maribor
0,Slovenske Konjice,Slovenia,Municipality of Zreče
0,Kamnik,Slovenia,Municipality of Kamnik
0,Radovljica,Slovenia,Municipality of Bohinj
0,Catalonia,Spain,Girona
0,Aragon,Spain,Huesca
0,Catalonia,Spain,Lleida
0,Catalonia,Spain,Lleida
0,Aragon,Spain,Huesca
0,Aragon,Spain,Huesca
0,Aragon,Spain,Huesca
0,Aragon,Spain,Huesca
0,Catalonia,Spain,Lleida
0,Catalonia,Spain,Barcelona
0,Catalonia,Spain,Girona
0,Catalonia,Spain,Girona
0,Cantabria,Spain,Cantabria
0,Galicia,Spain,Province of Ourense
0,Asturias,Spain,Asturias
0,Castile and León,Spain,León
0,Castile and León,Spain,Salamanca
0,Castile and León,Spain,Segovia
0,Community of Madrid,Spain,Madrid
0,Community of Madrid,Spain,Madrid
0,Aragon,Spain,Teruel
0,Aragon,Spain,Teruel
0,La Rioja,Spain,La Rioja
0,Andalusia,Spain,Granada
0,Norrbotten County,Sweden,Kiruna Municipality
0,Dalarna County,Sweden,Falun Municipality
0,Norrbotten County,Sweden,Kiruna Municipality
0,Västerbotten County,Sweden,Dorotea Municipality
0,Varmland County,Sweden,Torsby Municipality
0,Jamtland County,Sweden,Åre Municipality
0,Norrbotten County,Sweden,Gällivare Municipality
0,Dalarna County,Sweden,Älvdalen Municipality
0,Stockholm County,Sweden,Huddinge Municipality
0,Jamtland County,Sweden,Härjedalen
0,Halland County,Sweden,Laholm Municipality
0,Västerbotten County,Sweden,Storuman Municipality
0,Jonkoping County,Sweden,Gnosjö
0,Varmland County,Sweden,Torsby Municipality
0,Vestland,Norway,Voss Municipality
0,Dalarna County,Sweden,Malung
0,Dalarna County,Sweden,Älvdalen Municipality
0,Västerbotten County,Sweden,Vilhelmina Municipality
0,Dalarna County,Sweden,Malung
0,Jamtland County,Sweden,Härjedalen
0,Dalarna County,Sweden,Malung
0,Norrbotten County,Sweden,Kiruna Municipality
0,Dalarna County,Sweden,Borlänge Municipality
0,Jamtland County,Sweden,Åre Municipality
0,Örebro County,Sweden,Örebro Municipality
0,Dalarna County,Sweden,Malung
0,Dalarna County,Sweden,Malung
0,Västerbotten County,Sweden,Storuman Municipality
0,Jamtland County,Sweden,Härjedalen
0,Jamtland County,Sweden,Åre Municipality
0,Isparta,Türkiye,Isparta Merkez
0,Ankara,Türkiye,Çankaya
0,Kayseri,Türkiye,Melikgazi
0,Kastamonu,Türkiye,Kastamonu Merkez
0,Bolu,Türkiye,Seben
0,Erzurum,Türkiye,Palandöken
0,Antalya,Türkiye,Korkuteli
0,Kars,Türkiye,Sarıkamış
0,Bursa,Türkiye,Osmangazi
0,Ivano-Frankivsk Oblast,Ukraine,
0,Zakarpattia Oblast,Ukraine,Rakhivs'kyi district
0,Lviv Oblast,Ukraine,Skolivs'kyi district
0,Zakarpattia Oblast,Ukraine,Mizhhirs'kyi district
0,Lviv Oblast,Ukraine,Skolivs'kyi district
0,Lviv Oblast,Ukraine,Skolivs'kyi district
0,Ontario,Canada,Hastings County
0,Alberta,Canada,Clear Hills County
0,Alberta,Canada,Peace No. 135
0,Piedmont,Italy,Province of Verbano-Cusio-Ossola
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,Lombardy,Italy,Province of Sondrio
0,Piedmont,Italy,Metropolitan City of Turin
0,Trentino-South Tyrol,Italy,Autonomous Province of Trento
0,Lombardy,Italy,Province of Sondrio
0,Molise,Italy,Province of Campobasso
0,Abruzzo,Italy,Province of L'Aquila
0,Trentino-South Tyrol,Italy,Autonomous Province of Trento
0,Trentino-South Tyrol,Italy,Autonomous Province of Trento
0,Ventspils,Latvia,Ventspils pilsēta
0,Veneto,Italy,Province of Belluno
0,Aosta,Italy,Aosta Valley
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,Trentino-South Tyrol,Italy,Autonomous Province of Trento
0,Sicily,Italy,Metropolitan city of Catania
0,Lombardy,Italy,Province of Sondrio
0,Veneto,Italy,Province of Verona
0,Piedmont,Italy,Province of Verbano-Cusio-Ossola
0,Trentino-South Tyrol,Italy,Autonomous Province of Trento
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,Tuscany,Italy,Province of Siena
0,Trentino-South Tyrol,Italy,Autonomous Province of Trento
0,Lombardy,Italy,Province of Brescia
0,Emilia-Romagna,Italy,Province of Modena
0,Trentino-South Tyrol,Italy,Autonomous Province of Trento
0,Veneto,Italy,Province of Vicenza
0,Veneto,Italy,Province of Vicenza
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,Trentino-South Tyrol,Italy,Autonomous Province of Trento
0,Aosta,Italy,Aosta Valley
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,Piedmont,Italy,Province of Cuneo
0,Piedmont,Italy,Province of Cuneo
0,Abruzzo,Italy,Province of L'Aquila
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,Tolmin,Slovenia,Municipality of Bovec
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,Trentino-South Tyrol,Italy,Autonomous Province of Trento
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,Piedmont,Italy,Metropolitan City of Turin
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,Decentralized Administration of Thessaly and Central Greece,Greece,Central Greece
0,"Decentralized Administration of Peloponnese, Western Greece and the Ionian",Greece,Western Greece
0,Decentralized Administration of Macedonia and Thrace,Greece,Central Macedonia
0,Decentralized Administration of Macedonia and Thrace,Greece,Central Macedonia
0,Decentralized Administration of Thessaly and Central Greece,Greece,Thessalia
0,Decentralized Administration of Epirus and Western Macedonia,Greece,West Macedonia Region
0,Decentralized Administration of Thessaly and Central Greece,Greece,Central Greece
0,Decentralized Administration of Macedonia and Thrace,Greece,Central Macedonia
0,Decentralized Administration of Macedonia and Thrace,Greece,Central Macedonia
0,Decentralized Administration of Epirus and Western Macedonia,Greece,West Macedonia Region
0,Decentralized Administration of Macedonia and Thrace,Greece,East Macedonia and Thrace
0,"Decentralized Administration of Peloponnese, Western Greece and the Ionian",Greece,Peloponnese Region
0,Decentralized Administration of Thessaly and Central Greece,Greece,Thessalia
0,Decentralized Administration of Macedonia and Thrace,Greece,Central Macedonia
0,Decentralized Administration of Thessaly and Central Greece,Greece,Thessalia
0,Decentralized Administration of Thessaly and Central Greece,Greece,Thessalia
0,Decentralized Administration of Epirus and Western Macedonia,Greece,West Macedonia Region
0,Decentralized Administration of Macedonia and Thrace,Greece,East Macedonia and Thrace
0,Kópavogsbær,Iceland,
0,Fjallabyggð,Iceland,
0,Dalvíkurbyggð,Iceland,
0,Akureyrarbær,Iceland,
0,Reykjavíkurborg,Iceland,
0,Skagafjörður,Iceland,
0,Pennsylvania,United States,Wayne County
0,Bourgogne-Franche-Comté,France,Jura
0,Alaska,United States,Fairbanks North Star Borough
0,Pennsylvania,United States,Wayne County
0,British Columbia,Canada,Kitimat-Stikine
0,Alberta,Canada,Bighorn No. 8
0,Quebec,Canada,Estrie
0,Vermont,United States,Windham County
0,Alaska,United States,Fairbanks North Star Borough
0,Alaska,United States,Fairbanks North Star Borough
0,Andrijevica Municipality,Montenegro,
0,Rožaje Municipality,Montenegro,
0,Minnesota,United States,St. Louis County
0,Alaska,United States,Fairbanks North Star Borough
0,California,United States,Los Angeles County
0,Nebraska,United States,Knox County
0,New Hampshire,United States,Belknap County
0,Colorado,United States,El Paso County
0,Arkansas,United States,Newton County
0,Kansas,United States,Douglas County
0,New Hampshire,United States,Sullivan County
0,Bavaria,Germany,Swabia
0,Minnesota,United States,Hennepin County
0,Maine,United States,York County
0,Massachusetts,United States,Norfolk County
0,Bavaria,Germany,Swabia
0,Bavaria,Germany,Lower Bavaria
0,Trentino-South Tyrol,Italy,Autonomous Province of Bolzano – South Tyrol
0,British Columbia,Canada,North Coast
0,Virginia,United States,Rappahannock County
0,Yukon,Canada,
0,Ontario,Canada,Regional Municipality of Peel
0,Ontario,Canada,Toronto
0,Ontario,Canada,Regional Municipality of York
0,Ontario,Canada,Dufferin County
0,Ontario,Canada,Simcoe County
0,Ontario,Canada,Simcoe County
0,Ontario,Canada,Grey County
0,Ontario,Canada,Grey County
0,Ontario,Canada,Grey County
0,Ontario,Canada,Greater Sudbury
0,Ontario,Canada,Sudbury District
0,Manitoba,Canada,Minto
0,Saskatchewan,Canada,
0,Saskatchewan,Canada,Big River No. 555
0,Saskatchewan,Canada,Cote No. 271
0,Saskatchewan,Canada,Marquis No. 191
0,Alberta,Canada,Lacombe County
0,Alberta,Canada,Crowsnest Pass
